objectid,filename,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
bestplayer01,lionelmessi.webp,Olasunkanmi Ladapo,4/9/2024,"There's no denying Messi has evolved. He has lost fractions of his blistering pace but his intelligence and manipulation of the football means his control over the result of games remains as strong as ever. He is not an all-action terrier, he won't pitch in with the dirty work, but to count that against him is to miss the point entirely.",world; continent; north america; football; best player; world cup,Inter Miami,46.725562,-117.009633,Immediate Media Company Ltd. 2024,Postcard_01,Image;StillImage,image/jpeg,eng,Owned and published by Immediate Media Company Limited. www.immediatemedia.co.uk,http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.radiotimes.com/tv/sport/football/best-football-players-world/,/objects/small/demo_001_sm.jpg,/objects/thumbs/demo_001_th.jpg,historic sepia photograph depicting a formal brick and stone building in the College Gothic style,
bestplayer02,kylianmbappe.webp,Olasunkanmi Ladapo,4/9/2024,"Mbappé is a megastar forged by the crucible of the World Cup. It's an old-school way to achieve greatness given the prominence of the Champions League and Premier League, but Mbappé's international heroics prove his ability and mentality beyond all reasonable doubt.",world; continent; europe; football; best player; world cup,PSG,47.66432,-117.428031,Immediate Media Company Ltd. 2025,Postcard_02,Image;StillImage,image/jpeg,eng,Owned and published by Immediate Media Company Limited. www.immediatemedia.co.uk,http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.radiotimes.com/tv/sport/football/best-football-players-world/,/objects/small/demo_002_sm.jpg,/objects/thumbs/demo_002_th.jpg,historic colorized postcard depicting a formal building with a large central tower in the French Renaissance revival style,
bestplayer03,erlinghaaland.webp,Olasunkanmi Ladapo,4/9/2024,"Haaland has normalised the abnormal. Arguably, the Norse titan's only flaw in 2022/23 was setting the bar insurmountably high from the very start. Between the start of the season and the end of 2022, Haaland found the net 22 times in just 15 Premier League games. For context, that total would have won the Golden Boot in seven Premier League seasons.",world; continent; europe; football; best player; champions league,Manchester City,46.733001,-116.991779,Immediate Media Company Ltd. 2026,Postcard_03,Image;StillImage,image/jpeg,eng,Owned and published by Immediate Media Company Limited. www.immediatemedia.co.uk,http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.radiotimes.com/tv/sport/football/best-football-players-world/,/objects/small/demo_003_sm.jpg,/objects/thumbs/demo_003_th.jpg,"portrait of a thoughtful man in a suit, with the text 'the amazing story of Psychiana' in green letters below","[slightly scratchy recording of a radio broadcast. A organ plays dramatic intro music, then continues quietly behind speaker voice]

[Dramatic male speaking voice]:

As an army terrible with batters sweeping before it the black shades of night, routing despair, comes the flaming truth of the God law.

Why do you suffer the indignities of life, when you can control life? Your fate is in your hands now, for at last, the way is open, if you will but take it. 
When Dr. Frank B Robinson first realized the dynamic implications of Psychiana, he was in debt, a humble drug clerk with no future, no hope. Now he possesses all that he wants of wealth, his mind is at peace, and he is accorded praise and renown as an outstanding and famous psychologist. The same forces that raised him out of the depths, to stand on a high plane among men, can be put to work for you."
bestplayer04,judebellingham.webp,Olasunkanmi Ladapo,4/9/2024,"Bellingham's all-action, dynamic presence saw him transform from teenage wildcard to instant starter for England at the World Cup 2022 and he has never looked back. His displays for Dortmund put them firmly in title contention against the Bayern Munich juggernaut, spurned only by goal difference, before making the move to Real Madrid where he has added an abundance of goals to his arsenal.",world; continent; europe; football; best player; premier league,Real Madrid,46.726113,-117.015671,Immediate Media Company Ltd. 2027,Postcard_04,Image;StillImage,image/jpeg,eng,Owned and published by Immediate Media Company Limited. www.immediatemedia.co.uk,http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.radiotimes.com/tv/sport/football/best-football-players-world/,https://img.youtube.com/vi/CVXQ3X6Q8oU/hqdefault.jpg,https://img.youtube.com/vi/CVXQ3X6Q8oU/mqdefault.jpg,grainy image from historic film depicting fans heading to football game,
bestplayer05,harrykane.webp,Olasunkanmi Ladapo,4/9/2024,"Kane's season-end tallies remain consistent around the 30-goal mark with a bundle of assists and uncountable contributions setting him above almost every other striker in the world. In 2023/24, he is averaging well above a goal per game in the league and is firmly on course to bag 45 goals in the 34-game season. For context, Robert Lewandowski set the single-season record in 2021 with 41.",world; continent; europe; football; best player; bundesliga,Bayern Munich,42.1916714,-122.728533,Immediate Media Company Ltd. 2028,Postcard_05,Image;StillImage,image/jpeg,eng,Owned and published by Immediate Media Company Limited. www.immediatemedia.co.uk,http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.radiotimes.com/tv/sport/football/best-football-players-world/,,,,/objects/demo_005.txt
